date	run_id	series	mode	seed	trials	detected	mutation_policy	fixture_name	fixture_size	fixture_sha256	raw_tsv_relpath	raw_tsv_sha256	signed_binary_sha256	source_commit	target	host	provenance
2026-04-25	legacy-2026-04-25-qif-990fa9c02c64	qif/sample.qif/218	sniper	42	100	3	single-bit-v1	sample.qif	218	unknown	docs/corruption-sweep-results/qif_sniper.tsv	990fa9c02c64205b4da15bd4d41b791339c68d68c23537dc85f33b132b5eb0ac	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-rar-000ac39e0f57	rar/corpus_xorshift.rar/16712	bolter	42	100	100	contiguous-byte-span-v1	corpus_xorshift.rar	16712	unknown	docs/corruption-sweep-results/rar_bolter.tsv	000ac39e0f572658254a42d6cfc1e925448b096ba2bb0f6c9a1ce91076d16963	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-rar-fa07ec3827dc	rar/corpus_xorshift.rar/16712	shotgun	42	100	100	random-4096-byte-overwrite-v1	corpus_xorshift.rar	16712	unknown	docs/corruption-sweep-results/rar_shotgun.tsv	fa07ec3827dc5e26c0201f6fbd1b81713d383f43728613699d03eca4b520cb2d	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-rar-635fd0ad3924	rar/corpus_xorshift.rar/16712	sniper	42	100	100	single-bit-v1	corpus_xorshift.rar	16712	unknown	docs/corruption-sweep-results/rar_sniper.tsv	635fd0ad392418333eda7f48018c32da5c7e9c99b493d75893667e74ab1b73f4	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-reason-be188fbbcad5	reason/sample.reason/96	sniper	42	100	33	single-bit-v1	sample.reason	96	unknown	docs/corruption-sweep-results/reason_sniper.tsv	be188fbbcad5a098c7c67aab84dbc059de445d66fc7d82bb3d0882ce7a7128ba	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-rpm-f53cf9f166b4	rpm/sample.rpm/22829	bolter	42	100	7	contiguous-byte-span-v1	sample.rpm	22829	unknown	docs/corruption-sweep-results/rpm_bolter.tsv	f53cf9f166b40357ce0976580caebdb87ca413451658a04e9d8dba50732d4c44	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-rpm-6ef59561f069	rpm/sample.rpm/22829	shotgun	42	100	30	random-4096-byte-overwrite-v1	sample.rpm	22829	unknown	docs/corruption-sweep-results/rpm_shotgun.tsv	6ef59561f0690bb9f06ba875ac54be8382cd34659d286ea7e135e9e7e71ad110	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-rpm-8588c3cc5f7d	rpm/sample.rpm/22829	sniper	42	100	3	single-bit-v1	sample.rpm	22829	unknown	docs/corruption-sweep-results/rpm_sniper.tsv	8588c3cc5f7de0c18df2df219db5b7f6a2a2742871cd286dd63d4f6600d5d9b0	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-rpp-ccc58f8ba14b	rpp/sample.rpp/44	sniper	42	100	50	single-bit-v1	sample.rpp	44	unknown	docs/corruption-sweep-results/rpp_sniper.tsv	ccc58f8ba14b22152a164a30a685b67a2a212b4c6d70f31a7f735d22854d74b9	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-sevenz-d2b8f58e449a	sevenz/corpus_xorshift.7z/16853	shotgun	42	100	100	random-4096-byte-overwrite-v1	corpus_xorshift.7z	16853	unknown	docs/corruption-sweep-results/sevenz_shotgun.tsv	d2b8f58e449a4f627d5ebce78edeaac065934fcc702ef1a75a81b7a6796f8d44	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-sevenz-4bbefac241ef	sevenz/corpus_xorshift.7z/16853	sniper	42	100	99	single-bit-v1	corpus_xorshift.7z	16853	unknown	docs/corruption-sweep-results/sevenz_sniper.tsv	4bbefac241ef381b7bed9213976ec75460b9e6db7a890e2639bc8ca2bcc096bb	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-shapefile-70588523e48f	shapefile/sample.shp/128	sniper	42	100	89	single-bit-v1	sample.shp	128	unknown	docs/corruption-sweep-results/shapefile_sniper.tsv	70588523e48f4eddedde83264481abdf52859cd71d1194c7d30b65be362da14b	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-sit-d29c2ed7f22d	sit/sample.sit/140	sniper	42	100	94	single-bit-v1	sample.sit	140	unknown	docs/corruption-sweep-results/sit_sniper.tsv	d29c2ed7f22dfc4bbc9d3241d0fe6831d11cde49b87ee70d378a91753d23716b	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-sitx-b6ee02e48b9a	sitx/sample.sitx/16400	bolter	42	100	0	contiguous-byte-span-v1	sample.sitx	16400	unknown	docs/corruption-sweep-results/sitx_bolter.tsv	b6ee02e48b9a12fd0cc86acfd1b773f6b7a042b1f2dbcbcdab4e729d5031deda	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-sitx-e591ccbaaade	sitx/sample.sitx/16400	shotgun	42	100	0	random-4096-byte-overwrite-v1	sample.sitx	16400	unknown	docs/corruption-sweep-results/sitx_shotgun.tsv	e591ccbaaadec626628af8179a5c7d569561070b39747bc03674df07e2acfb5f	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-sitx-c0d3c7e24a1f	sitx/sample.sitx/16400	sniper	42	100	0	single-bit-v1	sample.sitx	16400	unknown	docs/corruption-sweep-results/sitx_sniper.tsv	c0d3c7e24a1f8e006fddaaac0bf256423e456a04fa47007efaf19b12e46892a4	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-sketch-0fe152038704	sketch/sample.sketch/631	sniper	42	100	56	single-bit-v1	sample.sketch	631	unknown	docs/corruption-sweep-results/sketch_sniper.tsv	0fe1520387042fbbece632bf91765edd6f36e3cfd0e5cf843c9a82fe4e8a8906	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-song-6437f2359545	song/sample.song/42216	bolter	42	100	99	contiguous-byte-span-v1	sample.song	42216	unknown	docs/corruption-sweep-results/song_bolter.tsv	6437f2359545f42cdbddb852e9176810420504469f5e25c32e6f3166320732c5	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-song-1eefebaab901	song/sample.song/42216	shotgun	42	100	100	random-4096-byte-overwrite-v1	sample.song	42216	unknown	docs/corruption-sweep-results/song_shotgun.tsv	1eefebaab901bc3dc7bb613816f27a88debf9e91d76b7d2da96d1da22017099f	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-song-0e886b4a305e	song/sample.song/42216	sniper	42	100	100	single-bit-v1	sample.song	42216	unknown	docs/corruption-sweep-results/song_sniper.tsv	0e886b4a305e5dd004fe580889650fbc605d23e611bc48cd431a64ba089da5a4	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-ssh_signature-0dac57376ad9	ssh_signature/sample.sig/294	sniper	42	100	64	single-bit-v1	sample.sig	294	unknown	docs/corruption-sweep-results/ssh_signature_sniper.tsv	0dac57376ad934fdd0d2d3072bb942252859345c8871913ff9ea766087474575	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-step-527b10099dee	step/sample.stp/711	sniper	42	100	23	single-bit-v1	sample.stp	711	unknown	docs/corruption-sweep-results/step_sniper.tsv	527b10099dee9f197d73a98f1314d1fbcd0596f2aaf2fab2c1d6e2cf871dc41d	unknown	unknown	unknown	unknown	historical-raw-incomplete
